Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,predict_prompt,10485,0,42,42.382378729889304,34.73905999271665,253.2388230029028,65.34315689079638,11.570028734758706,0.0,42,43,44,44,45,46,47,48,75,250,250
gRPC,predict_response,10605,0,42,42.395421441863206,34.71496900601778,256.05838699266315,66.51871758604432,11.7024468032538,0.0,42,43,44,44,45,46,47,48,74,250,260
,Aggregated,21090,0,42,42.38893719174247,34.71496900601778,256.05838699266315,65.93428165007113,23.272475538012504,0.0,42,43,44,44,45,46,47,48,74,250,260
