Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pooling,95990,0,880,881.4551595765662,33.079518005251884,1149.6270960196853,143.75692259610375,106.76719586557026,0.0,880,900,1000,1000,1100,1100,1100,1100,1100,1100,1100
,Aggregated,95990,0,880,881.4551595765662,33.079518005251884,1149.6270960196853,143.75692259610375,106.76719586557026,0.0,880,900,1000,1000,1100,1100,1100,1100,1100,1100,1100
