Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,predict_prompt,8006,0,56,56.68713050813475,48.876916989684105,276.8522090045735,57.99350487134649,8.802776021328839,0.0,56,57,58,59,60,62,64,66,80,280,280
gRPC,predict_response,7859,0,56,56.82928849177032,48.90305799199268,270.2887160121463,58.2678457819061,8.64114623427721,0.0,56,58,58,59,60,62,65,67,190,270,270
,Aggregated,15865,0,56,56.757550904818764,48.876916989684105,276.8522090045735,58.12940434919634,17.44392225560605,0.0,56,57,58,59,60,62,65,67,110,270,280
