Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,174267,0,480.0,486.1674987462089,39.87692762166262,2973.051752895117,118.20061170502734,193.62526245951884,0.0,480,540,580,610,690,750,830,900,1000,1700,3000
,Aggregated,174267,0,480.0,486.1674987462089,39.87692762166262,2973.051752895117,118.20061170502734,193.62526245951884,0.0,480,540,580,610,690,750,830,900,1000,1700,3000
