protocol,model,dtype,config_id,batch_size,batch_timeout,run,dataset,users,spawn_rate,duration,request_count,failure_count,rps,p50_ms,p95_ms,p99_ms,stats_csv,html_report,gpu_csv,log_file
rest,uni,fp16,B4,16,0.05,1,prompts,100,1,15m,58842,0,65.54680995815964,1400,1700,3900,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B4-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B4-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-fp16-B4-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-fp16-B4-uni-prompts-run1.log
grpc,uni,fp16,B4,16,0.05,1,prompts,100,1,15m,10536,0,11.558937116748103,83,100,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B4-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B4-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-fp16-B4-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-fp16-B4-uni-prompts-run1.log
rest,uni,fp16,B5,32,0.05,1,prompts,100,1,15m,63750,0,71.07258049888318,1400,1600,1700,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B5-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B5-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-fp16-B5-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-fp16-B5-uni-prompts-run1.log
grpc,uni,fp16,B5,32,0.05,1,prompts,100,1,15m,10533,0,11.51947282656772,83,98,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B5-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B5-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-fp16-B5-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-fp16-B5-uni-prompts-run1.log
rest,uni,fp16,B6,32,0.10,1,prompts,100,1,15m,61168,0,68.15899362624968,1400,1600,2000,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B6-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B6-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-fp16-B6-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-fp16-B6-uni-prompts-run1.log
grpc,uni,fp16,B6,32,0.10,1,prompts,100,1,15m,6468,0,7.009799680816319,140,160,160,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B6-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B6-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-fp16-B6-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-fp16-B6-uni-prompts-run1.log
rest,uni,fp16,B7,64,0.05,1,prompts,100,1,15m,61383,0,68.3695427577043,1400,1800,2000,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B7-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B7-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-fp16-B7-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-fp16-B7-uni-prompts-run1.log
grpc,uni,fp16,B7,64,0.05,1,prompts,100,1,15m,10589,0,11.596190320368288,84,99,100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B7-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B7-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-fp16-B7-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-fp16-B7-uni-prompts-run1.log
rest,uni,fp16,B8,64,0.10,1,prompts,100,1,15m,60541,0,67.45330749541331,1400,2000,2100,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B8-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-rest-fp16-B8-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-rest-fp16-B8-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-rest-fp16-B8-uni-prompts-run1.log
grpc,uni,fp16,B8,64,0.10,1,prompts,100,1,15m,6368,0,6.921103457710938,140,160,160,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B8-uni-prompts-run1_stats.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/ray-grpc-fp16-B8-uni-prompts-run1.html,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/raw-results/sweep/gpu-ray-grpc-fp16-B8-uni-prompts-run1.csv,/root/gliner-guard-serve-pr-sweep-20260417/artifacts/logs/sweep/ray-grpc-fp16-B8-uni-prompts-run1.log
