Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pooling,92846,0,1000,906.9755655876621,163.32335770130157,1581.542395055294,155.54020636322514,103.32690449085658,0.0,1000,1000,1100,1100,1100,1100,1200,1200,1400,1600,1600
,Aggregated,92846,0,1000,906.9755655876621,163.32335770130157,1581.542395055294,155.54020636322514,103.32690449085658,0.0,1000,1000,1100,1100,1100,1100,1200,1200,1400,1600,1600
