Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pooling,60365,0,1600,1393.6509235104895,162.04506903886795,2773.9774622023106,155.52843535161102,67.18856590510734,0.0,1600,1600,1700,1700,1700,1800,1900,1900,2700,2800,2800
,Aggregated,60365,0,1600,1393.6509235104895,162.04506903886795,2773.9774622023106,155.52843535161102,67.18856590510734,0.0,1600,1600,1700,1700,1700,1800,1900,1900,2700,2800,2800
