Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/pooling,56410,0,1600,1492.7202900272964,214.22647964209318,2773.991957306862,153.28319446906576,62.82280415951008,0.0,1600,1700,1700,1700,1800,1800,1900,1900,2600,2800,2800
,Aggregated,56410,0,1600,1492.7202900272964,214.22647964209318,2773.991957306862,153.28319446906576,62.82280415951008,0.0,1600,1700,1700,1700,1800,1800,1900,1900,2600,2800,2800
