timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 15:16:36.912, 9, 0, 5346, 81920, 86.67
2026/04/29 15:16:37.916, 4, 0, 5346, 81920, 86.67
2026/04/29 15:16:38.916, 12, 0, 5350, 81920, 86.58
2026/04/29 15:16:39.917, 21, 0, 5350, 81920, 86.58
2026/04/29 15:16:40.917, 13, 0, 5356, 81920, 86.67
2026/04/29 15:16:41.918, 19, 0, 5362, 81920, 93.81
2026/04/29 15:16:42.919, 20, 0, 5364, 81920, 87.86
2026/04/29 15:16:43.919, 26, 1, 5370, 81920, 88.46
2026/04/29 15:16:44.920, 20, 1, 5370, 81920, 87.53
2026/04/29 15:16:45.921, 30, 1, 5370, 81920, 99.05
2026/04/29 15:16:46.922, 30, 1, 5370, 81920, 94.31
2026/04/29 15:16:47.922, 24, 1, 5370, 81920, 91.41
2026/04/29 15:16:48.923, 37, 1, 5370, 81920, 116.66
2026/04/29 15:16:49.923, 40, 1, 5370, 81920, 112.79
2026/04/29 15:16:50.924, 38, 1, 5370, 81920, 118.61
2026/04/29 15:16:51.925, 39, 1, 5370, 81920, 150.37
2026/04/29 15:16:52.925, 52, 2, 5370, 81920, 136.42
2026/04/29 15:16:53.926, 54, 2, 5370, 81920, 118.34
2026/04/29 15:16:54.927, 52, 3, 5370, 81920, 127.81
2026/04/29 15:16:55.928, 30, 2, 5370, 81920, 148.85
2026/04/29 15:16:56.928, 41, 3, 5370, 81920, 192.16
2026/04/29 15:16:57.929, 29, 2, 5370, 81920, 125.42
2026/04/29 15:16:58.930, 37, 3, 5370, 81920, 116.27
2026/04/29 15:16:59.931, 37, 3, 5370, 81920, 116.54
2026/04/29 15:17:00.931, 49, 5, 5370, 81920, 116.27
2026/04/29 15:17:01.932, 51, 6, 5370, 81920, 116.66
2026/04/29 15:17:02.933, 44, 4, 5370, 81920, 145.03
2026/04/29 15:17:03.934, 36, 5, 5370, 81920, 131.96
