Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,124470,0,690.0,675.3324555509816,67.34967976808548,1802.0501658320427,89.98901743391983,138.4572656516389,0.0,690,770,820,850,940,1000,1100,1200,1400,1800,1800
,Aggregated,124470,0,690.0,675.3324555509816,67.34967976808548,1802.0501658320427,89.98901743391983,138.4572656516389,0.0,690,770,820,850,940,1000,1100,1200,1400,1800,1800
