timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 13:12:01.967, 45, 19, 5372, 81920, 328.84
2026/04/29 13:12:02.968, 33, 4, 5372, 81920, 198.97
2026/04/29 13:12:03.969, 27, 3, 5372, 81920, 286.50
2026/04/29 13:12:04.970, 45, 1, 5372, 81920, 241.41
2026/04/29 13:12:05.971, 39, 12, 5372, 81920, 298.67
2026/04/29 13:12:06.971, 91, 13, 5372, 81920, 155.98
2026/04/29 13:12:07.972, 35, 4, 5372, 81920, 320.57
2026/04/29 13:12:08.973, 72, 25, 5372, 81920, 122.75
2026/04/29 13:12:09.975, 66, 13, 5372, 81920, 281.44
2026/04/29 13:12:10.975, 27, 6, 5372, 81920, 119.93
2026/04/29 13:12:11.976, 22, 7, 5372, 81920, 136.70
2026/04/29 13:12:12.977, 92, 25, 5372, 81920, 197.23
2026/04/29 13:12:13.978, 43, 4, 5372, 81920, 121.73
2026/04/29 13:12:14.979, 25, 1, 5374, 81920, 143.83
2026/04/29 13:12:15.979, 96, 22, 5374, 81920, 130.89
2026/04/29 13:12:16.980, 94, 16, 5374, 81920, 122.00
2026/04/29 13:12:17.981, 86, 5, 5374, 81920, 122.15
2026/04/29 13:12:18.981, 46, 4, 5374, 81920, 130.02
2026/04/29 13:12:19.982, 48, 14, 5374, 81920, 133.90
2026/04/29 13:12:20.983, 20, 7, 5374, 81920, 131.50
2026/04/29 13:12:21.983, 7, 3, 5374, 81920, 259.17
2026/04/29 13:12:22.984, 66, 24, 5374, 81920, 205.72
2026/04/29 13:12:23.985, 52, 1, 5374, 81920, 150.20
2026/04/29 13:12:24.985, 76, 2, 5374, 81920, 212.05
2026/04/29 13:12:25.986, 48, 3, 5374, 81920, 120.54
2026/04/29 13:12:26.987, 23, 1, 5374, 81920, 139.51
2026/04/29 13:12:27.987, 79, 25, 5374, 81920, 130.76
2026/04/29 13:12:28.988, 56, 1, 5374, 81920, 221.25
2026/04/29 13:12:29.989, 67, 13, 5374, 81920, 157.95
2026/04/29 13:12:30.994, 82, 15, 5374, 81920, 121.40
2026/04/29 13:12:31.995, 35, 6, 5374, 81920, 181.21
2026/04/29 13:12:32.995, 13, 2, 5374, 81920, 146.78
2026/04/29 13:12:33.996, 43, 11, 5374, 81920, 298.67
2026/04/29 13:12:34.997, 97, 33, 5374, 81920, 141.58
2026/04/29 13:12:35.997, 74, 11, 5374, 81920, 237.63
2026/04/29 13:12:36.998, 54, 4, 5374, 81920, 220.32
2026/04/29 13:12:37.999, 40, 2, 5374, 81920, 244.35
2026/04/29 13:12:38.999, 60, 14, 5374, 81920, 120.20
2026/04/29 13:12:40.000, 34, 6, 5374, 81920, 186.22
2026/04/29 13:12:41.060, 17, 6, 5374, 81920, 203.17
2026/04/29 13:12:42.060, 90, 14, 5374, 81920, 143.24
2026/04/29 13:12:43.061, 84, 9, 5374, 81920, 120.20
2026/04/29 13:12:44.062, 54, 20, 5374, 81920, 140.57
2026/04/29 13:12:45.063, 87, 14, 5374, 81920, 165.19
2026/04/29 13:12:46.063, 50, 13, 5374, 81920, 137.02
2026/04/29 13:12:47.064, 76, 12, 5374, 81920, 239.61
2026/04/29 13:12:48.065, 71, 8, 5374, 81920, 120.81
2026/04/29 13:12:49.066, 82, 28, 5374, 81920, 138.91
2026/04/29 13:12:50.066, 84, 2, 5374, 81920, 130.16
2026/04/29 13:12:51.067, 29, 2, 5374, 81920, 120.20
2026/04/29 13:12:52.068, 35, 3, 5374, 81920, 148.85
2026/04/29 13:12:53.069, 54, 2, 5374, 81920, 167.54
2026/04/29 13:12:54.069, 48, 5, 5374, 81920, 272.57
2026/04/29 13:12:55.070, 70, 22, 5374, 81920, 145.73
2026/04/29 13:12:56.071, 50, 3, 5374, 81920, 272.52
2026/04/29 13:12:57.072, 43, 14, 5374, 81920, 293.90
2026/04/29 13:12:58.073, 82, 12, 5376, 81920, 140.11
2026/04/29 13:12:59.073, 41, 1, 5376, 81920, 268.98
2026/04/29 13:13:00.074, 27, 1, 5376, 81920, 283.20
2026/04/29 13:13:01.078, 68, 4, 5376, 81920, 132.36
2026/04/29 13:13:02.078, 82, 13, 5376, 81920, 141.44
2026/04/29 13:13:03.079, 61, 4, 5376, 81920, 163.39
2026/04/29 13:13:04.080, 65, 22, 5376, 81920, 139.69
2026/04/29 13:13:05.081, 74, 14, 5376, 81920, 186.22
2026/04/29 13:13:06.081, 78, 2, 5376, 81920, 120.54
2026/04/29 13:13:07.083, 46, 7, 5376, 81920, 120.68
2026/04/29 13:13:08.083, 56, 12, 5376, 81920, 162.09
2026/04/29 13:13:09.084, 63, 6, 5376, 81920, 318.18
2026/04/29 13:13:10.085, 43, 17, 5376, 81920, 121.88
2026/04/29 13:13:11.086, 88, 9, 5376, 81920, 137.90
2026/04/29 13:13:12.087, 29, 3, 5376, 81920, 279.37
2026/04/29 13:13:13.088, 42, 5, 5376, 81920, 314.37
2026/04/29 13:13:14.088, 70, 14, 5376, 81920, 263.69
2026/04/29 13:13:15.089, 92, 17, 5376, 81920, 127.49
2026/04/29 13:13:16.090, 71, 7, 5376, 81920, 161.32
2026/04/29 13:13:17.091, 32, 5, 5376, 81920, 189.22
2026/04/29 13:13:18.092, 17, 3, 5376, 81920, 303.37
2026/04/29 13:13:19.092, 32, 4, 5376, 81920, 120.20
2026/04/29 13:13:20.093, 32, 9, 5376, 81920, 133.57
2026/04/29 13:13:21.094, 45, 6, 5376, 81920, 224.52
2026/04/29 13:13:22.095, 34, 14, 5376, 81920, 142.37
