Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,predict_prompt,70140,0,610.0,601.1820413197739,58.059558272361755,1940.4999986290932,64.90387795836898,78.07126549485432,0.0,610,650,680,700,750,810,870,930,1300,1700,1900
gRPC,predict_response,70081,0,610.0,601.3918187102939,67.0979917049408,1947.6058036088943,66.55647037000043,78.0055939142413,0.0,610,660,680,700,750,810,880,930,1400,1700,1900
,Aggregated,140221,0,610.0,601.2868858816087,58.059558272361755,1947.6058036088943,65.7298264881865,156.07685940909562,0.0,610,650,680,700,750,810,870,930,1400,1700,1900
