timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 11:51:26.458, 47, 0, 5346, 81920, 116.93
2026/04/29 11:51:27.460, 3, 0, 5346, 81920, 116.93
2026/04/29 11:51:28.461, 5, 0, 5350, 81920, 92.61
2026/04/29 11:51:29.461, 6, 0, 5352, 81920, 88.14
2026/04/29 11:51:30.462, 17, 0, 5354, 81920, 91.14
2026/04/29 11:51:31.463, 10, 0, 5362, 81920, 101.23
2026/04/29 11:51:32.464, 28, 0, 5364, 81920, 90.81
2026/04/29 11:51:33.464, 21, 0, 5364, 81920, 97.95
2026/04/29 11:51:34.465, 24, 0, 5364, 81920, 89.07
2026/04/29 11:51:35.465, 21, 0, 5364, 81920, 92.34
2026/04/29 11:51:36.466, 22, 0, 5366, 81920, 97.68
2026/04/29 11:51:37.467, 23, 1, 5368, 81920, 119.61
2026/04/29 11:51:38.467, 30, 1, 5370, 81920, 180.29
2026/04/29 11:51:39.468, 27, 1, 5370, 81920, 118.46
2026/04/29 11:51:40.469, 23, 1, 5370, 81920, 109.51
2026/04/29 11:51:41.469, 29, 2, 5370, 81920, 98.83
2026/04/29 11:51:42.470, 33, 1, 5372, 81920, 120.20
2026/04/29 11:51:43.471, 25, 3, 5372, 81920, 118.13
2026/04/29 11:51:44.471, 25, 3, 5372, 81920, 116.93
2026/04/29 11:51:45.472, 21, 0, 5372, 81920, 205.24
2026/04/29 11:51:46.473, 35, 3, 5372, 81920, 119.61
2026/04/29 11:51:47.473, 36, 2, 5372, 81920, 121.13
2026/04/29 11:51:48.474, 40, 3, 5372, 81920, 120.20
2026/04/29 11:51:49.475, 0, 0, 5372, 81920, 116.93
2026/04/29 11:51:50.476, 42, 3, 5372, 81920, 127.35
2026/04/29 11:51:51.476, 45, 3, 5372, 81920, 160.45
2026/04/29 11:51:52.477, 42, 3, 5372, 81920, 120.81
2026/04/29 11:51:53.478, 47, 2, 5372, 81920, 187.88
2026/04/29 11:51:54.479, 49, 3, 5372, 81920, 119.93
2026/04/29 11:51:55.479, 38, 3, 5372, 81920, 161.05
2026/04/29 11:51:56.480, 45, 4, 5372, 81920, 215.91
2026/04/29 11:51:57.488, 47, 2, 5372, 81920, 143.24
2026/04/29 11:51:58.489, 59, 5, 5372, 81920, 180.29
2026/04/29 11:51:59.489, 47, 5, 5372, 81920, 178.21
2026/04/29 11:52:00.490, 0, 0, 5372, 81920, 117.26
2026/04/29 11:52:01.491, 47, 7, 5372, 81920, 142.64
2026/04/29 11:52:02.492, 66, 7, 5372, 81920, 118.13
2026/04/29 11:52:03.492, 0, 0, 5372, 81920, 117.53
2026/04/29 11:52:04.493, 60, 7, 5372, 81920, 118.13
2026/04/29 11:52:05.494, 52, 5, 5372, 81920, 177.34
2026/04/29 11:52:06.494, 28, 2, 5372, 81920, 185.63
2026/04/29 11:52:07.495, 41, 7, 5372, 81920, 135.63
2026/04/29 11:52:08.496, 47, 8, 5372, 81920, 146.51
2026/04/29 11:52:09.497, 44, 3, 5372, 81920, 193.63
2026/04/29 11:52:10.497, 36, 5, 5372, 81920, 173.20
2026/04/29 11:52:11.498, 33, 4, 5372, 81920, 202.84
2026/04/29 11:52:12.499, 52, 5, 5372, 81920, 119.34
2026/04/29 11:52:13.499, 35, 2, 5372, 81920, 121.73
2026/04/29 11:52:14.500, 1, 0, 5372, 81920, 132.36
2026/04/29 11:52:15.500, 58, 10, 5372, 81920, 138.91
2026/04/29 11:52:16.501, 50, 7, 5372, 81920, 218.59
2026/04/29 11:52:17.502, 60, 9, 5372, 81920, 127.62
2026/04/29 11:52:18.503, 43, 2, 5372, 81920, 197.50
2026/04/29 11:52:19.503, 45, 6, 5372, 81920, 149.00
2026/04/29 11:52:20.504, 52, 6, 5372, 81920, 119.34
2026/04/29 11:52:21.505, 42, 8, 5372, 81920, 255.03
2026/04/29 11:52:22.506, 2, 0, 5372, 81920, 118.13
2026/04/29 11:52:23.506, 59, 9, 5372, 81920, 135.97
2026/04/29 11:52:24.507, 45, 6, 5372, 81920, 130.30
2026/04/29 11:52:25.508, 42, 6, 5372, 81920, 126.75
2026/04/29 11:52:26.509, 66, 10, 5372, 81920, 175.27
2026/04/29 11:52:27.544, 73, 6, 5372, 81920, 136.84
2026/04/29 11:52:28.545, 32, 1, 5372, 81920, 147.10
2026/04/29 11:52:29.546, 68, 10, 5372, 81920, 148.25
2026/04/29 11:52:30.546, 60, 7, 5372, 81920, 249.35
2026/04/29 11:52:31.547, 52, 11, 5372, 81920, 137.44
2026/04/29 11:52:32.548, 79, 12, 5372, 81920, 190.36
2026/04/29 11:52:33.549, 58, 7, 5372, 81920, 121.13
2026/04/29 11:52:34.550, 81, 11, 5372, 81920, 163.29
2026/04/29 11:52:35.550, 34, 3, 5372, 81920, 217.39
2026/04/29 11:52:36.551, 33, 3, 5372, 81920, 120.20
2026/04/29 11:52:37.552, 75, 7, 5372, 81920, 223.32
2026/04/29 11:52:38.553, 59, 9, 5372, 81920, 120.81
2026/04/29 11:52:39.553, 20, 3, 5372, 81920, 148.25
2026/04/29 11:52:40.554, 53, 6, 5372, 81920, 180.61
2026/04/29 11:52:41.555, 49, 6, 5372, 81920, 146.66
2026/04/29 11:52:42.555, 49, 5, 5372, 81920, 238.77
2026/04/29 11:52:43.556, 44, 10, 5372, 81920, 214.99
2026/04/29 11:52:44.557, 58, 9, 5372, 81920, 126.75
2026/04/29 11:52:45.557, 56, 8, 5372, 81920, 236.95
2026/04/29 11:52:46.558, 45, 4, 5372, 81920, 120.81
2026/04/29 11:52:47.559, 51, 8, 5372, 81920, 218.86
2026/04/29 11:52:48.559, 57, 11, 5372, 81920, 126.02
2026/04/29 11:52:49.781, 49, 5, 5372, 81920, 217.66
2026/04/29 11:52:50.782, 55, 9, 5372, 81920, 121.40
2026/04/29 11:52:51.783, 59, 8, 5372, 81920, 121.73
2026/04/29 11:52:52.783, 58, 7, 5372, 81920, 217.06
2026/04/29 11:52:53.784, 38, 5, 5372, 81920, 178.40
2026/04/29 11:52:54.785, 61, 11, 5372, 81920, 157.62
2026/04/29 11:52:55.786, 34, 3, 5372, 81920, 122.28
2026/04/29 11:52:56.786, 35, 4, 5372, 81920, 120.81
2026/04/29 11:52:57.788, 38, 6, 5372, 81920, 208.78
2026/04/29 11:52:58.789, 60, 13, 5372, 81920, 153.48
2026/04/29 11:52:59.789, 81, 14, 5372, 81920, 136.24
2026/04/29 11:53:00.790, 43, 1, 5372, 81920, 150.53
2026/04/29 11:53:01.790, 60, 11, 5372, 81920, 126.48
2026/04/29 11:53:02.791, 41, 6, 5372, 81920, 237.54
2026/04/29 11:53:03.792, 60, 14, 5372, 81920, 190.96
2026/04/29 11:53:04.792, 69, 15, 5372, 81920, 134.16
2026/04/29 11:53:05.793, 62, 12, 5372, 81920, 135.97
2026/04/29 11:53:06.794, 79, 11, 5372, 81920, 128.82
2026/04/29 11:53:07.795, 55, 4, 5372, 81920, 119.61
2026/04/29 11:53:08.795, 48, 9, 5372, 81920, 139.24
2026/04/29 11:53:09.796, 54, 12, 5372, 81920, 285.87
2026/04/29 11:53:10.797, 75, 8, 5372, 81920, 182.95
2026/04/29 11:53:11.797, 76, 7, 5372, 81920, 121.73
2026/04/29 11:53:12.798, 62, 5, 5372, 81920, 158.05
2026/04/29 11:53:13.799, 55, 11, 5372, 81920, 171.58
2026/04/29 11:53:14.800, 34, 7, 5372, 81920, 248.83
